ip,hostname,city,region,country,loc,org,postal,timezone
93.72.49.123,regards.turn.volia.net,Kyiv,Kyiv City,UA,"50.5211,30.5830",AS25229 Kyivski Telekomunikatsiyni Merezhi LLC,07527,Europe/Kyiv
2a01:cb00:235:2b00:28dd:ff49:c421:ba34,,Argenteuil,Île-de-France,FR,"48.9479,2.2474",AS3215 Orange S.A.,95100,Europe/Paris
39.42.60.186,,Lahore,Punjab,PK,"31.5822,74.3292",AS17557 Pakistan Telecommunication Company Limited,54010,Asia/Karachi
61.12.88.94,server27.ggktech.com,Hyderābād,Telangana,IN,"17.4155,78.3707",AS45820 Tata Teleservices ISP AS,500008,Asia/Kolkata
2a01:e0a:1e8:bd50:3c2f:1aa4:a04:54ca,,Paris,Île-de-France,FR,"48.8730,2.3466",AS12322 Free SAS,75018,Europe/Paris
62.8.94.34,62.8.94.34.wananchi.com,Nairobi,Nairobi Area,KE,"-1.2833,36.8167",AS15399 Wananchi Group (Kenya) Limited,,Africa/Nairobi
47.62.45.67,47-62-45-67.red-acceso.airtel.net,Vigo,Galicia,ES,"42.1997,-8.7613",AS12430 VODAFONE ESPANA S.A.U.,36393,Europe/Madrid
2409:4072:584:dd1:2d95:9bdf:8036:c1a8,,Āvadi,Tamil Nadu,IN,"13.1147,80.1098",AS55836 Reliance Jio Infocomm Limited,600054,Asia/Kolkata
186.15.124.39,ip39-124-15-186.ct.co.cr,San José,San José,CR,"9.9262,-84.0731",AS52228 Cable Tica,10104,America/Costa_Rica
201.191.207.99,,San José,San José,CR,"9.9333,-84.0833",AS11830 Instituto Costarricense de Electricidad y Telecom.,40602,America/Costa_Rica
2600:8803:f50a:c400:789a:202b:8d17:478a,,Oklahoma City,Oklahoma,US,"35.5514,-97.4075",AS22773 Cox Communications Inc.,73189,America/Chicago
213.204.102.55,rev-213-204-102-55.terra.net.lb,Beirut,Beyrouth,LB,"33.8933,35.5016",AS39010 TerraNet sal,,Asia/Beirut
24.76.240.64,s0106b85e7113e76d.wp.shawcable.net,Winnipeg,Manitoba,CA,"49.9195,-97.1354",AS6327 Shaw Communications Inc.,R2W,America/Winnipeg
43.250.207.85,,Auckland,Auckland,NZ,"-36.8184,174.7098",AS45671 Wholesale Services Provider,0626,Pacific/Auckland
1.23.228.142,,Bengaluru,Karnataka,IN,"12.9719,77.5937",AS45528 Tikona Infinet Ltd.,560002,Asia/Kolkata
212.239.222.213,ip-212-239-222-213.dsl.scarlet.be,Brussels,Brussels Capital,BE,"50.8505,4.3488",AS5432 Proximus NV,1000,Europe/Brussels
2601:703:200:990:eddd:9e6:a175:5add,,Brandon,Florida,US,"27.9378,-82.2859","AS33661 Comcast Cable Communications, LLC",33509,America/New_York
73.27.171.243,c-73-27-171-243.hsd1.fl.comcast.net,Brandon,Florida,US,"27.9378,-82.2859","AS33661 Comcast Cable Communications, LLC",33509,America/New_York
4.53.125.35,,Los Angeles,California,US,"34.0522,-118.2437","AS3356 Level 3 Parent, LLC",90009,America/Los_Angeles
118.93.108.151,118-93-108-151.dsl.dyn.ihug.co.nz,Christchurch,Canterbury,NZ,"-43.5333,172.6333",AS9500 One New Zealand Group Limited,8011,Pacific/Auckland
2601:188:180:b8e0:fc30:d63:c6e4:a3e3,,Mount Laurel,New Jersey,US,"39.9340,-74.8910","AS7015 Comcast Cable Communications, LLC",08054,America/New_York
72.143.53.170,unallocated-static.rogers.com,Toronto,Ontario,CA,"43.7137,-79.4869",AS812 Rogers Communications Canada Inc.,M6L,America/Toronto
106.51.30.44,broadband.actcorp.in,Bengaluru,Karnataka,IN,"12.9719,77.5937",,560002,Asia/Kolkata
70.70.194.17,,Surrey,British Columbia,CA,"49.1063,-122.8251",AS6327 Shaw Communications Inc.,V3Z,America/Vancouver
80.163.43.71,80-163-43-71-cable.dk.customer.tdc.net,Copenhagen,Capital Region,DK,"55.6728,12.5924",AS3292 TDC Holding A/S,1417,Europe/Copenhagen
203.122.18.166,203.122.18.166.reverse.spectranet.in,Najafgarh,Delhi,IN,"28.4935,77.1413",AS10029 SHYAM SPECTRA PVT LTD,110074,Asia/Kolkata
202.161.57.226,,Singapore,Singapore,SG,"1.2897,103.8501",AS17733 Office of Communications & IT,018989,Asia/Singapore
96.68.187.53,96-68-187-53-static.hfc.comcastbusiness.net,San Francisco,California,US,"37.7621,-122.3971","AS33651 Comcast Cable Communications, LLC",94107,America/Los_Angeles
222.93.8.43,,Qingdao,Shandong,CN,"36.0649,120.3804",AS4134 CHINANET-BACKBONE,,Asia/Shanghai
